"RESULTID","RACEID","DRIVERID","GRID","POSITIONTEXT","POINTS","LAPS","TIME","FASTESTLAP","FASTESTLAPSPEED"
122,23,2,12,"14",0,72,"",72,149.829
123,23,16,18,"R",0,67,"",60,146.564
124,23,3,6,"R",0,59,"",58,147.951
125,23,12,17,"R",0,47,"",40,131.86
126,23,21,20,"R",0,36,"",33,129.5
127,23,14,15,"R",0,7,"",7,117.753
128,23,7,16,"R",0,7,"",7,118.872
129,24,9,2,"1",10,70,"36:24.2",47,202.473
130,24,2,8,"2",8,70,"16.495",25,202.758
131,24,14,13,"3",6,70,"23.352",36,201.057
132,24,10,11,"4",5,70,"42.627",31,198.51
133,24,13,6,"5",4,70,"43.934",11,201.261
134,24,15,14,"6",3,70,"47.775",38,199.056
135,24,22,9,"7",2,70,"53.597",35,200.503
136,24,20,19,"8",1,70,"54.12",33,199.913
137,24,5,7,"9",0,70,"54.433",62,200.091
138,24,3,5,"10",0,70,"54.749",14,201.336
139,24,18,20,"11",0,70,"+1:07.540",58,197.847
140,24,17,10,"12",0,70,"+1:11.299",51,200.759
141,24,7,18,"13",0,69,"",34,199.689
142,24,21,17,"R",0,51,"",41,198.563
143,24,6,12,"R",0,46,"",30,199.273
144,24,4,4,"R",0,44,"",16,200.697
145,24,12,15,"R",0,43,"",16,198.129
146,24,8,3,"R",0,19,"",14,202.871
147,24,1,1,"R",0,19,"",4,202.559
148,24,16,16,"R",0,13,"",7,194.624
149,25,13,2,"1",10,70,"31:50.2",20,206.956
150,25,8,1,"2",8,70,"17.984",16,207.224
151,25,15,4,"3",6,70,"28.25",12,204.721
152,25,5,10,"4",5,70,"28.929",46,205.87
153,25,9,5,"5",4,70,"30.512",16,205.768
154,25,17,6,"6",3,70,"40.304",22,204.879
155,25,12,9,"7",2,70,"41.033",24,204.218
156,25,4,3,"8",1,70,"43.372",39,204.525
157,25,14,7,"9",0,70,"51.021",23,204.06
158,25,1,13,"10",0,70,"54.538",40,205.022
159,25,10,8,"11",0,70,"57.7",45,204.013
160,25,20,12,"12",0,70,"58.065",36,204.212
161,25,2,11,"13",0,70,"+1:02.079",46,204.328
162,25,22,20,"14",0,69,"",54,203.665
163,25,6,15,"15",0,69,"",60,203.443
